Mã/model,Tên sản phẩm,Trạng thái,Giá nguồn,Giá sau 8% và làm tròn,URL nguồn,Thời điểm kiểm tra
DS-2CD1021G1-I,Camera IP 2MP HIKVISION DS-2CD1021G1-I,priced,665000,720000,https://www.sieuthivienthong.com/camera-ip-2mp-hikvision-ds-2cd1021g1-i-89787.html,2026-09-16T09:59:25+07:00
DS-2CD1021G2-LIU,Camera IP 2MP HIKVISION DS-2CD1021G2-LIU,priced,775000,840000,https://www.sieuthivienthong.com/camera-ip-2mp-hikvision-ds-2cd1021g2-liu-85263.html,2026-09-16T09:59:25+07:00
DS-2CD1023G2-LIUF,Camera IP 2MP HIKVISION DS-2CD1023G2-LIUF,priced,1020000,1100000,https://www.sieuthivienthong.com/camera-ip-2mp-hikvision-ds-2cd1023g2-liuf-77260.html,2026-09-16T09:59:25+07:00
DS-2CD1023G2-LIUF/SL,Camera IP 2MP HIKVISION DS-2CD1023G2-LIUF/SL,priced,970000,1050000,https://www.sieuthivienthong.com/camera-ip-2mp-hikvision-ds-2cd1023g2-liufsl-84564.html,2026-09-16T09:59:25+07:00
DS-2CD1027G2H-LIUF,Camera IP 2MP HIKVISION DS-2CD1027G2H-LIUF,priced,1435000,1550000,https://www.sieuthivienthong.com/camera-ip-2mp-hikvision-ds-2cd1027g2h-liuf-84580.html,2026-09-16T09:59:25+07:00
DS-2CD1T27G2H-LIUF,Camera IP 2MP HIKVISION DS-2CD1T27G2H-LIUF,priced,1565000,1690000,https://www.sieuthivienthong.com/camera-ip-2mp-hikvision-ds-2cd1t27g2h-liuf-84586.html,2026-09-16T09:59:25+07:00
DS-2CD1043G2-LIUF,Camera IP 4MP HIKVISION DS-2CD1043G2-LIUF,priced,1280000,1380000,https://www.sieuthivienthong.com/camera-ip-4mp-hikvision-ds-2cd1043g2-liuf-83113.html,2026-09-16T09:59:25+07:00
DS-2CD1043G2-LIUF/SL,Camera IP 4MP HIKVISION DS-2CD1043G2-LIUF/SL,priced,1355000,1460000,https://www.sieuthivienthong.com/camera-ip-4mp-hikvision-ds-2cd1043g2-liufsl-84567.html,2026-09-16T09:59:25+07:00
DS-2CD1T41G2-LIU,Camera IP 4MP HIKVISION DS-2CD1T41G2-LIU,priced,1330000,1440000,https://www.sieuthivienthong.com/camera-ip-4mp-hikvision-ds-2cd1t41g2-liu-85265.html,2026-09-16T09:59:25+07:00
DS-2CD1B47G2H-LIUF/SL,Camera IP 4MP HIKVISION DS-2CD1B47G2H-LIUF/SL,priced,1820000,1970000,https://www.sieuthivienthong.com/camera-ip-4mp-hikvision-ds-2cd1b47g2h-liufsl-89416.html,2026-09-16T09:59:25+07:00
DS-2CD1B47G2H-LIU,Camera IP 4MP HIKVISION DS-2CD1B47G2H-LIU,not_found,,,,2026-09-16T09:59:25+07:00
DS-2CD1B47G2H-LIUF/SRB,Camera IP 4MP HIKVISION DS-2CD1B47G2H-LIUF/SRB,contact,,,https://www.sieuthivienthong.com/camera-ip-4mp-hikvision-ds-2cd1b47g2h-liufsrb-89417.html,2026-09-16T09:59:25+07:00
DS-2CD1121G0-I,Camera IP 2MP HIKVISION DS-2CD1121G0-I,priced,720000,780000,https://www.sieuthivienthong.com/camera-ip-2mp-hikvision-ds-2cd1121g0-i-79762.html,2026-09-16T09:59:25+07:00
DS-2CD1121G2-LIU,Camera IP 2MP HIKVISION DS-2CD1121G2-LIU,priced,795000,860000,https://www.sieuthivienthong.com/camera-ip-2mp-hikvision-ds-2cd1121g2-liu-85270.html,2026-09-16T09:59:25+07:00
DS-2CD1321G2-LIU,Camera IP 2MP HIKVISION DS-2CD1321G2-LIU,priced,785000,850000,https://www.sieuthivienthong.com/camera-ip-2mp-hikvision-ds-2cd1321g2-liu-85269.html,2026-09-16T09:59:25+07:00
DS-2CD1123G2-LIUF,Camera IP 2MP HIKVISION DS-2CD1123G2-LIUF,priced,1100000,1190000,https://www.sieuthivienthong.com/camera-ip-2mp-hikvision-ds-2cd1123g2-liuf-77262.html,2026-09-16T09:59:25+07:00
DS-2CD1127G2H-LIUF,Camera IP 2MP HIKVISION DS-2CD1127G2H-LIUF,contact,,,https://www.sieuthivienthong.com/camera-ip-2mp-hikvision-ds-2cd1127g2h-liuf-85236.html,2026-09-16T09:59:25+07:00
DS-2CD1327G2H-LIUF,Camera IP 2MP HIKVISION DS-2CD1327G2H-LIUF,priced,1540000,1660000,https://www.sieuthivienthong.com/camera-ip-2mp-hikvision-ds-2cd1327g2h-liuf-84591.html,2026-09-16T09:59:25+07:00
DS-2CD1143G2-LIUF,Camera IP 4MP HIKVISION DS-2CD1143G2-LIUF,contact,,,https://www.sieuthivienthong.com/camera-ip-4mp-hikvision-ds-2cd1143g2-liuf-83114.html,2026-09-16T09:59:25+07:00
DS-2CD1147G2H-LIUF,Camera IP 4MP HIKVISION DS-2CD1147G2H-LIUF,priced,1640000,1770000,https://www.sieuthivienthong.com/camera-ip-4mp-hikvision-ds-2cd1147g2h-liuf-84607.html,2026-09-16T09:59:25+07:00
DS-2CD1347G2H-LIUF,Camera IP 4MP HIKVISION DS-2CD1347G2H-LIUF,contact,,,https://www.sieuthivienthong.com/camera-ip-4mp-hikvision-ds-2cd1347g2h-liuf-84592.html,2026-09-16T09:59:25+07:00
DS-2CD1347G2-LUF,Camera IP 4MP HIKVISION DS-2CD1347G2-LUF,contact,,,https://www.sieuthivienthong.com/camera-ip-4mp-hikvision-ds-2cd1347g2-luf-83111.html,2026-09-16T09:59:25+07:00
DS-2CD1347G3H-LIUF/SRB,Camera IP 4MP HIKVISION DS-2CD1347G3H-LIUF/SRB,contact,,,https://www.sieuthivienthong.com/camera-ip-4mp-hikvision-ds-2cd1347g3h-liufsrb-90479.html,2026-09-16T09:59:25+07:00
DS-2DE2C400MWG-E,Camera IP 4MP HIKVISION DS-2DE2C400MWG-E,contact,,,https://www.sieuthivienthong.com/camera-ip-4mp-hikvision-ds-2de2c400mwg-e-83573.html,2026-09-16T09:59:25+07:00
DS-2DE2C200MWG-E,Camera IP 2MP HIKVISION DS-2DE2C200MWG-E,priced,1030000,1110000,https://www.sieuthivienthong.com/camera-ip-2mp-hikvision-ds-2de2c200mwg-e-83572.html,2026-09-16T09:59:25+07:00
DS-2SE2C400MWG-E/14(2.8/8mm),Camera IP 4MP HIKVISION DS-2SE2C400MWG-E/14(2.8/8mm),contact,,,https://www.sieuthivienthong.com/camera-ip-4mp-hikvision-ds-2se2c400mwg-e14288mm-88999.html,2026-09-16T09:59:25+07:00
DS-2SE2C200MWG-E/12(2.8/8mm),Camera IP 2MP HIKVISION DS-2SE2C200MWG-E/12(2.8/8mm),priced,1490000,1610000,https://www.sieuthivienthong.com/camera-ip-2mp-hikvision-ds-2se2c200mwg-e12288mm-89002.html,2026-09-16T09:59:25+07:00
DS-2DE3A404IWG-E/W,Camera IP 4MP HIKVISION DS-2DE3A404IWG-E/W,priced,5880000,6350000,https://www.sieuthivienthong.com/camera-ip-4mp-hikvision-ds-2de3a404iwg-ew-85267.html,2026-09-16T09:59:25+07:00
DS-2DE4215IW-DE(T5),Camera IP 2MP HIKVISION DS-2DE4215IW-DE(T5),contact,,,https://www.sieuthivienthong.com/camera-ip-2mp-hikvision-ds-2de4215iw-det5-62772.html,2026-09-16T09:59:25+07:00
DS-2CV2Q21G1-IDW(W),Camera IP Wifi 2MP HIKVISION DS-2CV2Q21G1-IDW(W),contact,,,https://www.sieuthivienthong.com/camera-ip-wifi-2mp-hikvision-ds-2cv2q21g1-idww-90541.html,2026-09-16T09:59:25+07:00
DS-2DE3A400BW-DE/W(F1)(T5),Camera IP 4MP HIKVISION DS-2DE3A400BW-DE/W(F1)(T5),contact,,,https://www.sieuthivienthong.com/camera-ip-4mp-hikvision-ds-2de3a400bw-dewf1t5-66970.html,2026-09-16T09:59:25+07:00
DS-2DE2A204IW-DE3(C0)(S6),Camera IP 2MP HIKVISION DS-2DE2A204IW-DE3(C0)(S6),priced,3385000,3660000,https://www.sieuthivienthong.com/camera-ip-2mp-hikvision-ds-2de2a204iw-de3c0s6-62080.html,2026-09-16T09:59:25+07:00
DS-2DE4425IWG1-EHUN,Camera IP 4MP HIKVISION DS-2DE4425IWG1-EHUN,not_found,,,,2026-09-16T09:59:25+07:00
DS-2DE2A404IWG1-E/WHUN,Camera IP WiFi 4MP HIKVISION DS-2DE2A404IWG1-E/WHUN,not_found,,,,2026-09-16T09:59:25+07:00
DS-2DE4225IWG1-EHUN,Camera IP 2MP HIKVISION DS-2DE4225IWG1-EHUN,not_found,,,,2026-09-16T09:59:25+07:00
DS-2DE4215IWG1-EHUN,Camera IP 2MP HIKVISION DS-2DE4215IWG1-EHUN,not_found,,,,2026-09-16T09:59:25+07:00
DH-IPC-HFW1230TL2-S5-VN,Camera IP 2MP DAHUA DH-IPC-HFW1230TL2-S5-VN,contact,,,https://www.sieuthivienthong.com/camera-ip-20mp-dahua-dh-ipc-hfw1230tl2-s5-vn-87954.html,2026-09-16T09:59:25+07:00
